ID,Category,Variable,Source,Data Type,Variable Value,Value Type,Unit
1,Turbine,Wind Turbine Planning Data,REPD,Tabular,Planning Outcome,Categorical,Accept/Reject
2,,Turbine Capacity,,Tabular,Megawatts/turbine,Continuous,MW
3,,Number of Turbines,,Tabular,,Continuous,
4,,Year,,Tabular,,Discrete,
5,,Country,,Tabular,,Categorical,
6,Resource,Wind Speed,NOABL,Raster,Annualised Wind Speed,Continuous,m/s
7,Features,Airports,OpenGeo,Points,Distance to Feature,Continuous,km
8,,Roads *,OS Strategi,Lines,Distance to Feature,Continuous,km
9,,Railways,,Lines,Distance to Feature,Continuous,km
10,,Urban Areas,,Polygons,Distance to Feature,Continuous,km
11,,HV Powerlines **,,Lines,Distance to Feature,Continuous,km
12,Landscape,Areas of Outstanding Natural Beauty,National Heritage,Polygons,Distance to Feature,Continuous,km
13,,National Parks,,Polygons,Distance to Feature,Continuous,km
14,,Heritage Coast,,Polygons,Distance to Feature,Continuous,km
15,Nature,Special Protection Areas,,Polygons,Distance to Feature,Continuous,km
16,,National Nature Reserve,,Polygons,Distance to Feature,Continuous,km
17,,Sites of Special Scientific Interest,,Polygons,Distance to Feature,Continuous,km
18,,Special Areas of Conservation,,Polygons,Distance to Feature,Continuous,km
19,Geographic,Elevation,EU DEM,Raster,Height above sea level,Integer,m
20,,Slope,Derived from 18,Raster,Gradient,Continuous,%
21,Census,Level of Qualification,ONS,Tabular,Higher than L4 ***,Continuous,%
22,,Age,,Tabular,Mean,Continuous,Years
23,,Social Grade,,Tabular,Social Grade AB ****,Continuous,%
24,,Tenure,,Tabular,Home Ownership,Continuous,%
25,Political,Conservatives,Populus,Tabular,Percentage of Council,Continuous,%
26,,Labour,,Tabular,Percentage of Council,Continuous,%
27,,Liberal Democrat,,Tabular,Percentage of Council,Continuous,%
